Name,Type,Street Address,City,State/Province,Zip/Postal Code,Country,Region,Owner,LinkedIn,Email
"J.K. Delivers Inc","FedEx","","Fresno","CA","","US","USA","","",""
"J.R. Delivery Service","FedEx","","Quincy","MA","","US","USA","","",""
"J.R.Rod Inc","FedEx","","Wichita Falls","TX","","US","USA","","",""
"J&M Package and Delivery Service Inc","FedEx","","Barrington","NJ","","US","USA","","",""
"J&S Patriot Corp","FedEx","","Grand Island","NE","","US","USA","","",""
"J2S PD Services Inc","FedEx","","Irving","TX","","US","USA","","",""
"J316 Enterprises Inc","FedEx","685 Alliance Pkwy","Hewitt","TX","","US","USA","","",""
"JAB Express Inc","FedEx","","Naples","FL","","US","USA","","",""
"Jacson Endeavors Inc","FedEx","","Midland","TX","","US","USA","","",""
"JAI Express Inc","FedEx","","Orion","MI","","US","USA","","",""
"JB Courier AL Inc","FedEx","","Anniston","AL","","US","USA","","",""
"JCJJ Inc","FedEx","2751 N POINCIANA BLVD, UNIT 28","Kissimmee","FL","34746","US","USA","","",""
"Jdog Inc","FedEx","789 SAVANNAH LN","Dayton","TN","37321","US","USA","","",""
"JDS Parcel Inc","FedEx","5395 SHANNAMARA DR","Matthews","NC","28104","US","USA","","",""
"Jett Transportation Inc","FedEx","","Livonia","MI","","US","USA","","",""
"JFSpeed Express Inc","FedEx","","","AR","","US","USA","","",""
"JFX Capital Inc","FedEx","2389 Main St","Glastonbury","CT","06033-4617","US","USA","James Flynn","",""
"JG Delivery Inc","FedEx","","Rensselaer","NY","","US","USA","","",""
"JH BDT Inc","FedEx","10400 ROGER STREET","Portage","MI","49002","US","USA","","",""
"JJ Logistics of Jacks Inc","FedEx","","Jacksonville","FL","","US","USA","","",""
"JJ’s Logistics of Jax Inc","FedEx","4295 Greenalnd Road","Jacksonville","FL","32258","US","USA","Jennifer Jarvis","",""
"JJH Transport Corp","FedEx","6369 Red Fox Road","Lino Lakes","MN","55014","US","USA","","",""
"JJW Delivery Inc","FedEx","1921 Susquehanna Ave","Exeter","PA","18643","US","USA","","",""
"JMC Delivery Inc","FedEx","","Sauget","IL","","US","USA","","",""
"JMG Logistics Inc","FedEx","","Fort Worth","TX","","US","USA","","",""
"John Carter Incorporated","FedEx","","Lebanon","OH","","US","USA","","",""
"Johnson Express Logistics Inc","FedEx","300 Noah Place","Mcdonough","GA","30252","US","USA","Willie Johnson","",""
"Joint Logistics Incorporated","FedEx","834 Highway 12 W. Suite 319","Starkville","MS","39759","US","USA","","",""
"Jokhan Trucking Corp","FedEx","","Braselton","GA","","US","USA","","",""
"Jones Contract Deliveries Inc","FedEx","3088 BUCHANAN LOOP RD","Texarkana","TX","75501","US","USA","","",""
"Josh Long Trucking Inc","FedEx","","Owingsville","KY","","US","USA","","",""
"JP Guthrie Inc","FedEx","2227 Mineral Spring Avenue","North Providence","RI","2911","US","USA","Joshua Guthrie","",""
"JP Logistics Inc","FedEx","","Olathe","KS","","US","USA","","",""
"JPB Logistics Inc","FedEx","9314 FOREST HILL BLVD 301","West Palm Beach","FL","33411","US","USA","","",""
"JPM Trucking","FedEx","","Savannah","GA","","US","USA","","",""
"JRV Transportation","FedEx","","Ontario","OH","","US","USA","","",""
"JS Eagles Transport Inc","FedEx","","Miamisburg","OH","","US","USA","","",""
"JS Transportation Corp","FedEx","","Mobile","AL","","US","USA","","",""
"JSD Express & Sons Inc","FedEx","","Marcy","NY","","US","USA","","",""
"JSD Express Inc","FedEx","101 Candella Express Dr","Marcy","NY","13403","US","USA","","",""
"JSG Logistics Corp","FedEx","","Mesquite","TX","","US","USA","","",""
"JSJ Trucking Inc","FedEx","155 Treeside drive","Mooreville","MS","38857","US","USA","John Smith Jr","",""
"K Downey Logistics Inc","FedEx","7965 Bramwell Park","Victor","NY","14564","US","USA","","",""
"K.I.K. Transport Inc","FedEx","","Baton Rouge","LA","","US","USA","","",""
"K.W.K Inc","FedEx","","Pulaski","VA","","US","USA","","",""
"KADE Logistics 1 Inc","FedEx","484 E Carmel Dr, #393","Carmel","IN","46032","US","USA","David Gray","",""
"Kai Coastal Inc","FedEx","","Ventura","CA","","US","USA","","",""
"Kairos Enterprises","FedEx","","Boise","ID","","US","USA","","",""
"KBH Contracting Services Inc","FedEx","2128 PARKWAY PLACE","Tyler","TX","75701","US","USA","","",""
"KD Transportation Inc","FedEx","","Plentywood","MT","","US","USA","","",""
"KDS Trucking","FedEx","1601 Brown Road","Lake Orion","MI","48632","US","USA","","",""
"KEB Logistics","FedEx","","Chicago","IL","","US","USA","","",""
"Kelsar Ventures Inc","FedEx","","Fennimore","WI","","US","USA","","",""
"Kemlyn Road Corporation","FedEx","110 Bridgewater Dr","Avon","CT","06001-4404","US","USA","Paul Griffiths","",""
"Kendall Services Inc","FedEx","4610 BRANSCOMB DR","Corpus Christi","TX","78411","US","USA","","",""
"Kinetic Logistics","FedEx","","Burlington","WA","","US","USA","","",""
"King Capital Transport Inc","FedEx","449 Knutson St, Unit A","Mapleton","ND","58059","US","USA","Josh Stenson","",""
"Kinlogistics Inc","FedEx","","Biddeford","ME","","US","USA","","",""
"KJKC LTD","FedEx","9765 198th Street W","Lakeville","MN","55044","US","USA","","",""
"KLW Inc","FedEx","","Livonia","MI","","US","USA","","",""
"KM Logistics","FedEx","","Katy","TX","","US","USA","","",""
"Kmans Inc","FedEx","","Hayward","CA","","US","USA","","",""
"Kmex Logistics","FedEx","","Hayward","CA","","US","USA","","",""
"KNF Solutions Inc","FedEx","","Grand Rapids","MI","","US","USA","","",""
"Knox Package Systems Inc","FedEx","","Knoxville","TN","","US","USA","","",""
"KODA Express Inc","FedEx","10601 CLARENCE DR STE 250","Frisco","TX","75033-3867","US","USA","","",""
"Kodiak Logistics","FedEx","","Philadelphia","PA","","US","USA","","",""
"Kore Logistics Inc","FedEx","","Exton","PA","","US","USA","","",""
"KPB Delivery Logistics Inc","FedEx","1025 SPRAGUE ROAD","Chemung","NY","14825","US","USA","","",""
"KR Freight Solutions Inc","FedEx","135 Anchuka Drive","Saltillo","MS","38866-5789","US","USA","Kelvin Monroe","",""
"Krismal Inc","FedEx","","Lansing","MI","","US","USA","Lyn Fournier","",""
"KSM Transportation Inc","FedEx","","Anniston","AL","","US","USA","","",""
"KSR Transport","FedEx","","Tallahassee","FL","32317","US","USA","","",""
"Kudu Transport Inc","FedEx","","Ladson Village","SC","","US","USA","","",""
"Kukla Logistics","FedEx","","Cudahy","WI","","US","USA","","",""
"Kustoms Service Inc","FedEx","","Greenleaf","WI","","US","USA","","",""
"L&N Delivery Inc","FedEx","28 COURT ST., APT. 13","Mansfield","MA","2048","US","USA","","",""
"Laina Logistics Inc","FedEx","607 Maris Run","Webster","NY","14580","US","USA","","",""
"Lake Express Inc","FedEx","17927 River Ford Dr","Davidson","NC","28036","US","USA","","",""
"Lakes Delivery Inc","FedEx","1488 KINGS VIEW DR","Grand Forks","ND","58201","US","USA","","",""
"Lakey Enterprises Inc","FedEx","","North Salt Lake City","UT","","US","USA","","",""
"Lambert Logistics","FedEx","","Madison","WI","","US","USA","","",""
"Last Mile Group","FedEx","","Chillicothe","OH","","US","USA","","",""
"Lastmile Delivery Solutions","FedEx","","Upper Marlboro","MD","","US","USA","","",""
"Lastmile Enterprises Inc","FedEx","","Gaithersburg","MD","","US","USA","","",""
"LBE Enterprises Inc","FedEx","","Humboldt","TN","","US","USA","","",""
"LCTI Inc","FedEx","","Austin","TX","","US","USA","","",""
"Legacy Logistics & Transportation","FedEx","","Knoxville","TN","","US","USA","","",""
"Legado Logistics","FedEx","","Knoxville","TN","","US","USA","","",""
"Lehigh Expeditors Inc","FedEx","16011 State Rd 60","Borden","IN","47106","US","USA","David Cooper","",""
